seeds=40 N=9 T=6 sigma_true=0.1
ssvs tau0=0.02 tau1=1.5 draws=20000 burn=5000

case     method       correct   false  missed  exact  med sig  med frob
block    mple           26.20    1.57    0.80   14/40   0.0908     0.673
block    lasso-cv       20.85   18.43    6.15    0/40   0.6144     3.730
block    lasso-bic      23.70   18.27    3.30    0/40   0.0649     2.799
block    alasso-bic     23.32    8.28    3.67    0/40   0.0924     2.791
block    lasso-best     19.27    1.68    7.72    0/40   0.7462     3.542
block    ssvs           26.32    1.50    0.68   10/40   0.0915     0.785

scatter  mple           26.40    1.40    0.60   17/40   0.0887     0.596
scatter  lasso-cv       21.73   19.30    5.28    0/40   0.4297     3.321
scatter  lasso-bic      23.98   17.00    3.02    0/40   0.0649     2.786
scatter  alasso-bic     23.57    7.85    3.42    2/40   0.0963     2.714
scatter  lasso-best     19.68    2.35    7.33    0/40   0.6960     3.224
scatter  ssvs           26.00    1.12    1.00   17/40   0.0941     0.525

paired against mple, both cases pooled (errors = false + missed)
  lasso-cv    worse than mple  80   better   0   equal   0   of 80
  lasso-bic   worse than mple  80   better   0   equal   0   of 80
  alasso-bic  worse than mple  77   better   2   equal   1   of 80
  lasso-best  worse than mple  79   better   0   equal   1   of 80
  ssvs        worse than mple  24   better  24   equal  32   of 80

rows selected with more cells than observations: 0

      seed case     method        M  corr  false  miss   sigma    frob
  20260726 block    mple         28    27      1     0  0.0798   0.373
  20260726 block    lasso-cv     31    19     12     8  1.5681   4.030
  20260726 block    lasso-bic    41    24     17     3  0.0590   2.000
  20260726 block    alasso-bic   33    24      9     3  0.0971   2.077
  20260726 block    lasso-best   21    21      0     6  0.6212   2.180
  20260726 block    ssvs         28    27      1     0  0.0798   0.383
  20260726 scatter  mple         27    27      0     0  0.0826   0.217
  20260726 scatter  lasso-cv     37    22     15     5  1.3288   2.765
  20260726 scatter  lasso-bic    39    26     13     1  0.0742   0.693
  20260726 scatter  alasso-bic   30    26      4     1  0.0809   0.681
  20260726 scatter  lasso-best   24    23      1     4  0.5371   1.740
  20260726 scatter  ssvs         27    27      0     0  0.0826   0.219
  20261726 block    mple         28    27      1     0  0.0984   0.512
  20261726 block    lasso-cv     39    20     19     7  0.6951   4.609
  20261726 block    lasso-bic    45    23     22     4  0.0483   4.204
  20261726 block    alasso-bic   36    22     14     5  0.0892   4.197
  20261726 block    lasso-best   19    17      2    10  1.3320   4.926
  20261726 block    ssvs         32    25      7     2  0.0773   3.408
  20261726 scatter  mple         27    27      0     0  0.1230   0.241
  20261726 scatter  lasso-cv     41    24     17     3  0.4273   3.328
  20261726 scatter  lasso-bic    42    26     16     1  0.0814   2.841
  20261726 scatter  alasso-bic   31    26      5     1  0.1174   2.717
  20261726 scatter  lasso-best   21    19      2     8  0.9916   3.310
  20261726 scatter  ssvs         27    27      0     0  0.1230   0.243
  20262726 block    mple         29    27      2     0  0.0809   0.687
  20262726 block    lasso-cv     36    22     14     5  0.5980   3.068
  20262726 block    lasso-bic    45    25     20     2  0.0587   2.822
  20262726 block    alasso-bic   32    25      7     2  0.0914   2.710
  20262726 block    lasso-best   27    23      4     4  0.5876   1.716
  20262726 block    ssvs         27    27      0     0  0.0931   0.213
  20262726 scatter  mple         26    25      1     2  0.0944   1.067
  20262726 scatter  lasso-cv     44    23     21     4  0.3572   2.245
  20262726 scatter  lasso-bic    40    24     16     3  0.0810   2.170
  20262726 scatter  alasso-bic   33    22     11     5  0.0966   2.285
  20262726 scatter  lasso-best   19    19      0     8  0.5958   2.099
  20262726 scatter  ssvs         26    25      1     2  0.0943   1.069
  20263726 block    mple         28    27      1     0  0.0718   0.766
  20263726 block    lasso-cv     49    25     24     2  0.0221   2.617
  20263726 block    lasso-bic    37    25     12     2  0.0547   2.614
  20263726 block    alasso-bic   28    25      3     2  0.0871   2.455
  20263726 block    lasso-best   22    21      1     6  0.4088   3.421
  20263726 block    ssvs         28    26      2     1  0.0813   2.312
  20263726 scatter  mple         26    25      1     2  0.0864   0.772
  20263726 scatter  lasso-cv     42    24     18     3  0.0734   1.579
  20263726 scatter  lasso-bic    37    23     14     4  0.0584   1.679
  20263726 scatter  alasso-bic   28    23      5     4  0.0983   1.558
  20263726 scatter  lasso-best   20    19      1     8  0.5905   2.131
  20263726 scatter  ssvs         26    25      1     2  0.0882   0.899
  20264726 block    mple         27    27      0     0  0.0921   0.295
  20264726 block    lasso-cv     42    21     21     6  0.8682   2.905
  20264726 block    lasso-bic    46    25     21     2  0.0584   1.966
  20264726 block    alasso-bic   30    25      5     2  0.1016   2.016
  20264726 block    lasso-best   17    17      0    10  0.7472   2.445
  20264726 block    ssvs         27    27      0     0  0.0920   0.295
  20264726 scatter  mple         27    27      0     0  0.0795   0.325
  20264726 scatter  lasso-cv     40    22     18     5  0.4948   2.486
  20264726 scatter  lasso-bic    42    24     18     3  0.0436   2.831
  20264726 scatter  alasso-bic   32    24      8     3  0.0930   2.712
  20264726 scatter  lasso-best   24    22      2     5  0.6627   1.901
  20264726 scatter  ssvs         27    27      0     0  0.0795   0.320
  20265726 block    mple         29    24      5     3  0.0925   2.081
  20265726 block    lasso-cv     44    21     23     6  0.1585   4.143
  20265726 block    lasso-bic    38    21     17     6  0.0948   4.272
  20265726 block    alasso-bic   31    21     10     6  0.1106   4.286
  20265726 block    lasso-best   19    18      1     9  0.6988   3.635
  20265726 block    ssvs         28    26      2     1  0.1017   1.074
  20265726 scatter  mple         27    26      1     1  0.0962   1.342
  20265726 scatter  lasso-cv     39    21     18     6  0.2493   2.891
  20265726 scatter  lasso-bic    39    24     15     3  0.0724   2.235
  20265726 scatter  alasso-bic   30    24      6     3  0.1114   2.059
  20265726 scatter  lasso-best   24    22      2     5  0.4417   2.390
  20265726 scatter  ssvs         28    26      2     1  0.0974   1.355
  20266726 block    mple         28    27      1     0  0.0968   1.005
  20266726 block    lasso-cv     38    21     17     6  0.8842   3.618
  20266726 block    lasso-bic    42    24     18     3  0.0563   4.059
  20266726 block    alasso-bic   32    24      8     3  0.0838   4.050
  20266726 block    lasso-best   24    21      3     6  0.6892   3.547
  20266726 block    ssvs         30    27      3     0  0.0908   1.517
  20266726 scatter  mple         27    27      0     0  0.1298   0.189
  20266726 scatter  lasso-cv     28    16     12    11  1.3984   3.916
  20266726 scatter  lasso-bic    47    22     25     5  0.0590   2.256
  20266726 scatter  alasso-bic   32    22     10     5  0.1301   1.789
  20266726 scatter  lasso-best   22    19      3     8  0.5313   1.920
  20266726 scatter  ssvs         27    27      0     0  0.1296   0.187
  20267726 block    mple         27    26      1     1  0.0971   1.040
  20267726 block    lasso-cv     43    21     22     6  1.3315   4.937
  20267726 block    lasso-bic    40    23     17     4  0.0884   5.705
  20267726 block    alasso-bic   32    23      9     4  0.1015   5.600
  20267726 block    lasso-best   16    15      1    12  0.9633   6.039
  20267726 block    ssvs         28    27      1     0  0.0970   0.698
  20267726 scatter  mple         28    26      2     1  0.1103   1.986
  20267726 scatter  lasso-cv     46    21     25     6  0.4668   6.036
  20267726 scatter  lasso-bic    44    21     23     6  0.0432   5.936
  20267726 scatter  alasso-bic   37    21     16     6  0.0736   5.800
  20267726 scatter  lasso-best   18    16      2    11  0.6862   4.532
  20267726 scatter  ssvs         27    26      1     1  0.1219   1.267
  20268726 block    mple         28    27      1     0  0.0838   0.524
  20268726 block    lasso-cv     42    23     19     4  0.2736   1.840
  20268726 block    lasso-bic    45    23     22     4  0.0597   2.493
  20268726 block    alasso-bic   35    23     12     4  0.1181   2.330
  20268726 block    lasso-best   22    21      1     6  0.5255   2.422
  20268726 block    ssvs         29    27      2     0  0.0829   0.570
  20268726 scatter  mple         29    27      2     0  0.0847   0.658
  20268726 scatter  lasso-cv     38    23     15     4  0.8681   2.644
  20268726 scatter  lasso-bic    40    26     14     1  0.0453   0.962
  20268726 scatter  alasso-bic   29    26      3     1  0.0926   0.856
  20268726 scatter  lasso-best   24    22      2     5  0.6542   2.029
  20268726 scatter  ssvs         28    27      1     0  0.0934   0.610
  20269726 block    mple         27    27      0     0  0.1051   0.285
  20269726 block    lasso-cv     31    16     15    11  0.9561   5.899
  20269726 block    lasso-bic    44    20     24     7  0.0659   4.974
  20269726 block    alasso-bic   33    19     14     8  0.0940   4.993
  20269726 block    lasso-best   18    17      1    10  0.8379   4.397
  20269726 block    ssvs         27    27      0     0  0.1049   0.265
  20269726 scatter  mple         27    27      0     0  0.1043   0.259
  20269726 scatter  lasso-cv     42    22     20     5  1.0507   4.064
  20269726 scatter  lasso-bic    42    25     17     2  0.0634   3.070
  20269726 scatter  alasso-bic   34    25      9     2  0.0853   3.063
  20269726 scatter  lasso-best   26    22      4     5  0.6028   2.949
  20269726 scatter  ssvs         27    27      0     0  0.1043   0.256
  20270726 block    mple         29    23      6     4  0.0720   3.540
