N=200 T=80 q=40000 n=16000 KMAX=25 sigma_true=0.1 alpha=2.0 beta=27.0
ssvs tau0=0.02 tau1=1.5 draws=8000 burn=2000
lasso nlam=60 folds=5

      seed case     method          M  corr  false  miss   sigma     frob
  20260726 block    mple         2555  2549      6    24  0.2389     3.59
  20260726 block    lasso-cv    11563  2573   8990     0  0.0462     2.22
  20260726 block    lasso-bic    5423  2573   2850     0  0.0841     1.51
  20260726 block    alasso-bic   2573  2573      0     0  0.1009     0.63
  20260726 block    lasso-best   2593  2245    348   328  0.8055    13.98
  20260726 block    ssvs         4130  2256   1874   317  0.2038    43.69
  20260726 scatter  mple         2551  2545      6    28  0.2835     4.24
  20260726 scatter  lasso-cv    11601  2573   9028     0  0.0456     2.24
  20260726 scatter  lasso-bic    5430  2573   2857     0  0.0834     1.54
  20260726 scatter  alasso-bic   2573  2573      0     0  0.1010     0.63
  20260726 scatter  lasso-best   2647  2294    353   279  0.7244    12.41
  20260726 scatter  ssvs         4249  2223   2026   350  0.1823    45.92
  20261726 block    mple         2539  2530      9    23  0.2263     3.64
  20261726 block    lasso-cv    11351  2553   8798     0  0.0472     2.13
  20261726 block    lasso-bic    5239  2553   2686     0  0.0835     1.47
  20261726 block    alasso-bic   2553  2553      0     0  0.0996     0.64
  20261726 block    lasso-best   2617  2265    352   288  0.7817    13.04
  20261726 block    ssvs         3995  2276   1719   277  0.1821    43.38
  20261726 scatter  mple         2537  2530      7    23  0.2696     4.13
  20261726 scatter  lasso-cv    11299  2553   8746     0  0.0492     2.19
  20261726 scatter  lasso-bic    5298  2553   2745     0  0.0835     1.51
  20261726 scatter  alasso-bic   2553  2553      0     0  0.0998     0.63
  20261726 scatter  lasso-best   2562  2241    321   312  0.8174    13.90
  20261726 scatter  ssvs         3854  2297   1557   256  0.1477    40.26
