seed 20260726, two chains at each setting

case       tau0   tau1  chain    M  corr  false  miss    frob
block     0.005   3.00     11    2     2      0    25   6.699
block     0.005   3.00     22    2     2      0    25   6.699
block     0.020   1.50     11   27    27      0     0   0.174
block     0.020   1.50     22   28    27      1     0   0.383
block     0.050   1.00     11   27    27      0     0   0.174
block     0.050   1.00     22   27    27      0     0   0.174
block     0.100   0.60     11   81    27     54     0   4.019
block     0.100   0.60     22   81    27     54     0   4.019

scatter   0.005   3.00     11    7     7      0    20   5.188
scatter   0.005   3.00     22   27    27      0     0   0.219
scatter   0.020   1.50     11   27    27      0     0   0.219
scatter   0.020   1.50     22   27    27      0     0   0.219
scatter   0.050   1.00     11   27    27      0     0   0.219
scatter   0.050   1.00     22   27    27      0     0   0.219
scatter   0.100   0.60     11   81    27     54     0   3.492
scatter   0.100   0.60     22   81    27     54     0   3.492

