      seed  case       M  corr  false  miss   sigma    frob
  20260726  block     28    27      1     0  0.0798   0.373
  20260726  scatter   27    27      0     0  0.0826   0.217
  20261726  block     28    27      1     0  0.0984   0.512
  20261726  scatter   27    27      0     0  0.1230   0.241
  20262726  block     29    27      2     0  0.0809   0.687
  20262726  scatter   26    25      1     2  0.0944   1.067
  20263726  block     28    27      1     0  0.0718   0.766
  20263726  scatter   26    25      1     2  0.0864   0.772
  20264726  block     27    27      0     0  0.0921   0.295
  20264726  scatter   27    27      0     0  0.0795   0.325
  20265726  block     29    24      5     3  0.0925   2.081
  20265726  scatter   27    26      1     1  0.0962   1.342
  20266726  block     28    27      1     0  0.0968   1.005
  20266726  scatter   27    27      0     0  0.1298   0.189
  20267726  block     27    26      1     1  0.0971   1.040
  20267726  scatter   28    26      2     1  0.1103   1.986
  20268726  block     28    27      1     0  0.0838   0.524
  20268726  scatter   29    27      2     0  0.0847   0.658
  20269726  block     27    27      0     0  0.1051   0.285
  20269726  scatter   27    27      0     0  0.1043   0.259
  20270726  block     29    23      6     4  0.0720   3.540
  20270726  scatter   31    26      5     1  0.0570   1.884
  20271726  block     31    26      5     1  0.0633   1.384
  20271726  scatter   28    25      3     2  0.0775   1.723
  20272726  block     28    26      2     1  0.0944   1.446
  20272726  scatter   26    26      0     1  0.1048   0.835
  20273726  block     28    26      2     1  0.0907   1.182
  20273726  scatter   27    27      0     0  0.0879   0.302
  20274726  block     27    25      2     2  0.0890   0.963
  20274726  scatter   27    25      2     2  0.0883   1.156
  20275726  block     27    25      2     2  0.0895   0.960
  20275726  scatter   30    27      3     0  0.0730   0.801
  20276726  block     27    27      0     0  0.0981   0.339
  20276726  scatter   27    27      0     0  0.0937   0.343
  20277726  block     28    27      1     0  0.1061   0.478
  20277726  scatter   30    26      4     1  0.0891   0.935
  20278726  block     26    26      0     1  0.0909   0.773
  20278726  scatter   27    27      0     0  0.0962   0.273
  20279726  block     27    27      0     0  0.0809   0.356
  20279726  scatter   27    27      0     0  0.0905   0.280
  20280726  block     27    27      0     0  0.0923   0.269
  20280726  scatter   27    27      0     0  0.0736   0.481
  20281726  block     27    27      0     0  0.1012   0.303
  20281726  scatter   28    24      4     3  0.0861   6.279
  20282726  block     27    27      0     0  0.1040   0.240
  20282726  scatter   28    27      1     0  0.1003   0.614
  20283726  block     27    27      0     0  0.1082   0.255
  20283726  scatter   27    27      0     0  0.1030   0.236
  20284726  block     30    25      5     2  0.0587   1.088
  20284726  scatter   28    25      3     2  0.0749   1.713
  20285726  block     27    27      0     0  0.0916   0.218
  20285726  scatter   27    27      0     0  0.0982   0.204
  20286726  block     27    27      0     0  0.0995   0.428
  20286726  scatter   29    26      3     1  0.0674   1.390
  20287726  block     27    25      2     2  0.0844   1.214
  20287726  scatter   29    27      2     0  0.0815   0.870
  20288726  block     32    26      6     1  0.0583   1.819
  20288726  scatter   32    26      6     1  0.0742   1.132
  20289726  block     29    25      4     2  0.0859   2.155
  20289726  scatter   27    27      0     0  0.0942   0.286
  20290726  block     27    26      1     1  0.1091   0.660
  20290726  scatter   28    27      1     0  0.1037   0.383
  20291726  block     28    27      1     0  0.0884   0.538
  20291726  scatter   27    27      0     0  0.0926   0.297
  20292726  block     28    26      2     1  0.0924   1.832
  20292726  scatter   27    25      2     2  0.1022   1.112
  20293726  block     29    24      5     3  0.0757   2.970
  20293726  scatter   28    27      1     0  0.0794   0.578
  20294726  block     27    27      0     0  0.0946   0.365
  20294726  scatter   28    27      1     0  0.0940   0.400
  20295726  block     27    27      0     0  0.0896   0.254
  20295726  scatter   27    27      0     0  0.0748   0.306
  20296726  block     27    25      2     2  0.0947   1.509
  20296726  scatter   27    27      0     0  0.0918   0.514
  20297726  block     27    27      0     0  0.0812   0.203
  20297726  scatter   27    27      0     0  0.0746   0.241
  20298726  block     27    27      0     0  0.0772   0.264
  20298726  scatter   31    26      5     1  0.0489   1.792
  20299726  block     27    25      2     2  0.0735   2.953
  20299726  scatter   29    26      3     1  0.0806   1.868

---------------- summary ----------------
  block    n= 40  correct 26.20 of 27   false  1.57   missed  0.80   exact recoveries  14 (35%)
  scatter  n= 40  correct 26.40 of 27   false  1.40   missed  0.60   exact recoveries  17 (42%)

  paired within seed: block worse 17, block better 11, equal 12

  seed 20260726 check against recover.py:
    block   M=28 correct=27 false=1 missed=0   (expected 28 / 25 / 3 / 2)
    scatter M=27 correct=27 false=0 missed=0   (expected 27 / 27 / 0 / 0)
