001.0000 hours, Transport, LSM-02-SJ, start, load, [5-INF-BDE-MTBR-104, 5-INF-BDE-MTBR-103, 5-INF-BDE-MTBR-106, 5-INF-BDE-MTBR-105, 5-INF-BDE-MTBR-100, 5-INF-BDE-MTBR-089, 5-INF-BDE-MTBR-088, 5-INF-BDE-MTBR-102, 5-INF-BDE-MTBR-101, 5-INF-BDE-MTBR-085, 5-INF-BDE-MTBR-084, 9-INF-BDE-Viper-004, 5-INF-BDE-MTBR-108, 5-INF-BDE-MTBR-107, 5-INF-BDE-MTBR-109, 5-INF-BDE-MTBR-115, 5-INF-BDE-MTBR-114, 5-INF-BDE-MTBR-117, 5-INF-BDE-MTBR-116, 5-INF-BDE-MTBR-111, 5-INF-BDE-MTBR-110, 5-INF-BDE-MTBR-113, 5-INF-BDE-MTBR-112, 5-INF-BDE-MTBR-193, 5-INF-BDE-MTBR-192, 5-INF-BDE-MTBR-119, 5-INF-BDE-MTBR-118], SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-104, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-103, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-106, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-105, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-100, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-089, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-088, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-102, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-101, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-085, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-084, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 9-INF-BDE-Viper-004, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-108, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-107, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-109, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-115, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-114, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-117, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-116, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-111, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-110, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-113, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-112, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-193, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-192, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-119, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Serial, 5-INF-BDE-MTBR-118, start, load, LSM-02-SJ, SanJuan
001.0000 hours, Transport, CH53-12-PLT, start, load, [2-INF-BDE-JLTV-073], Plata
001.0000 hours, Serial, 2-INF-BDE-JLTV-073, start, load, CH53-12-PLT, Plata
001.0000 hours, Transport, MV22-18-GDL, start, load, [7-INF-BDE-HMMWV-011], Guadeloupe
001.0000 hours, Serial, 7-INF-BDE-HMMWV-011, start, load, MV22-18-GDL, Guadeloupe
001.0000 hours, Transport, CH53-04-PLT, start, load, [Supply-Co-1A-SQD-0009, Supply-Co-1A-SQD-0008, Supply-Co-1A-SQD-0007], Plata
001.0000 hours, Serial, Supply-Co-1A-SQD-0009, start, load, CH53-04-PLT, Plata
001.0000 hours, Serial, Supply-Co-1A-SQD-0008, start, load, CH53-04-PLT, Plata
001.0000 hours, Serial, Supply-Co-1A-SQD-0007, start, load, CH53-04-PLT, Plata
001.0000 hours, Transport, MV22-34-GDL, start, load, [7-INF-BDE-HMMWV-035], Guadeloupe
001.0000 hours, Serial, 7-INF-BDE-HMMWV-035, start, load, MV22-34-GDL, Guadeloupe
001.0000 hours, Transport, MV22-14-DMN, start, load, [2-INF-BDE-HMMWV-129], Dominica
001.0000 hours, Serial, 2-INF-BDE-HMMWV-129, start, load, MV22-14-DMN, Dominica
001.0000 hours, Transport, MV22-26-GDL, start, load, [7-INF-BDE-HMMWV-030], Guadeloupe
001.0000 hours, Serial, 7-INF-BDE-HMMWV-030, start, load, MV22-26-GDL, Guadeloupe
001.0000 hours, Transport, CH53-05-ESP, start, load, [2-INF-BDE-SQD-0269, 373-INF-BN-SQD-0031, 2-INF-BDE-SQD-0297], Esperanza
001.0000 hours, Serial, 2-INF-BDE-SQD-0269, start, load, CH53-05-ESP, Esperanza
001.0000 hours, Serial, 373-INF-BN-SQD-0031, start, load, CH53-05-ESP, Esperanza
001.0000 hours, Serial, 2-INF-BDE-SQD-0297, start, load, CH53-05-ESP, Esperanza
001.0000 hours, Transport, MV22-01-GDL, start, load, [7-INF-BDE-HMMWV-018], Guadeloupe
001.0000 hours, Serial, 7-INF-BDE-HMMWV-018, start, load, MV22-01-GDL, Guadeloupe
001.0000 hours, Transport, KC130-01-HVN, start, load, [9-INF-BDE-M777-001], Havana
001.0000 hours, Serial, 9-INF-BDE-M777-001, start, load, KC130-01-HVN, Havana
001.0000 hours, Transport, MV22-16-DMN, start, load, [2-INF-BDE-HMMWV-150], Dominica
001.0000 hours, Serial, 2-INF-BDE-HMMWV-150, start, load, MV22-16-DMN, Dominica
001.0000 hours, Transport, MV22-36-GDL, start, load, [7-INF-BDE-HMMWV-020], Guadeloupe
001.0000 hours, Serial, 7-INF-BDE-HMMWV-020, start, load, MV22-36-GDL, Guadeloupe
001.0000 hours, Transport, LST-05-JRG, start, load, [7-INF-BDE-MTBR-219, 7-INF-BDE-MTBR-210, 7-INF-BDE-MTBR-212, 7-INF-BDE-MTBR-211, 7-INF-BDE-MTBR-214, 7-INF-BDE-MTBR-213, 7-INF-BDE-MTBR-216, 7-INF-BDE-MTBR-215, 7-INF-BDE-MTBR-218, 7-INF-BDE-MTBR-217, 7-INF-BDE-MTBR-209, 7-INF-BDE-MTBR-208, 5-INF-BDE-MTBR-238, 5-INF-BDE-MTBR-237, 5-INF-BDE-MTBR-232, 5-INF-BDE-MTBR-231, 5-INF-BDE-MTBR-234, 5-INF-BDE-MTBR-233, 5-INF-BDE-MTBR-230, 5-INF-BDE-Viper-005, 7-INF-BDE-MTBR-201, 7-INF-BDE-MTBR-200, 7-INF-BDE-MTBR-203, 7-INF-BDE-MTBR-202, 7-INF-BDE-MTBR-205, 5-INF-BDE-MTBR-239, 7-INF-BDE-MTBR-204], Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-219, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-210, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-212, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-211, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-214, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-213, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-216, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-215, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-218, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-217, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-209, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-208, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 5-INF-BDE-MTBR-238, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 5-INF-BDE-MTBR-237, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 5-INF-BDE-MTBR-232, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 5-INF-BDE-MTBR-231, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 5-INF-BDE-MTBR-234, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 5-INF-BDE-MTBR-233, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 5-INF-BDE-MTBR-230, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 5-INF-BDE-Viper-005, start, load, LST-05-JRG, Juragua
001.0000 hours, Serial, 7-INF-BDE-MTBR-201, start, load, LST-05-JRG, Juragua
