Name, Latitude, Longitude

Havana,   23.09, -82.48
Juragua,  22.06, -80.51
NewGuinea,21.9,  -82.77
Palma,    21.8,  -77.75
Santiago, 19.97, -75.84

SantoDomingo, 18.43,  -69.67
Plata,        19.758, -70.57
USVI,         17.7,   -64.76
SanJuan,      18.44,  -66
Guadeloupe,   16.27,  -61.53
Esperanza,    18.1,   -65.48
IslaDeMona,   18.068, -67.926
StAnn,        18.44,  -77.2

A&B,       17.01, -61.76
Dominica,  15.51, -61.27
Lucia,     13.726,-60.955
Martinique,14.594,-61.05
Vincent,   13.167,-61.149
