timestamp,seed,pairs,ms,rows,columns,perside,style,payoff,komi,winsA,winsB,winsA_asP0,winsA_asP1,quietPct,quietPctAwins,quietPctBwins,meanPlies,meanCaptures,meanLeadChanges,wallSecs,wA_threat,wA_pair,wA_mobility,wA_centre,wA_vulnerableAxes,wA_oneMoveCapturable,wA_spearheadPairs,wA_diagonalSupport,wA_deniedSquares,wA_strikers,wA_notchExposure,wB_threat,wB_pair,wB_mobility,wB_centre,wB_vulnerableAxes,wB_oneMoveCapturable,wB_spearheadPairs,wB_diagonalSupport,wB_deniedSquares,wB_strikers,wB_notchExposure
1787612771,777001,40,500,8,10,20,slide,convex,1.5,15,65,7,8,52.50,80.00,46.15,159.55,31.46,1.07,794.89,0.062500,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787613541,777001,40,500,8,10,20,slide,convex,1.5,39,41,21,18,51.25,71.79,31.71,159.10,29.75,1.41,769.92,0.125000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787622640,777001,40,500,8,10,20,slide,convex,1.5,17,63,10,7,75.00,64.71,77.78,167.06,26.77,1.12,810.12,0.500000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787623406,777001,40,500,8,10,20,slide,convex,1.5,1,79,0,1,41.25,100.00,40.51,158.11,24.19,0.72,766.04,1.000000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787624213,777001,40,500,8,10,20,slide,convex,1.5,37,43,19,18,66.25,72.97,60.47,167.30,28.46,1.39,806.82,0.250000,0.005000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787625018,777001,40,500,8,10,20,slide,convex,1.5,41,39,23,18,75.00,68.29,82.05,166.01,28.25,1.07,804.55,0.250000,0.010000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787625853,777001,40,500,8,10,20,slide,convex,1.5,41,39,23,18,73.75,70.73,76.92,173.04,29.66,1.32,835.12,0.250000,0.040000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787626722,777001,40,500,8,10,20,slide,convex,1.5,37,43,17,20,73.75,78.38,69.77,177.80,28.61,1.45,869.13,0.250000,0.080000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787627556,777001,40,500,8,10,20,slide,convex,1.5,50,30,23,27,72.50,74.00,70.00,173.26,27.86,1.21,834.10,0.250000,0.020000,0.005000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787628432,777001,40,500,8,10,20,slide,convex,1.5,50,30,23,27,78.75,78.00,80.00,176.19,28.48,1.16,875.69,0.250000,0.020000,0.010000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787629179,777001,40,500,8,10,20,slide,convex,1.5,13,67,8,5,55.00,76.92,50.75,158.01,28.56,1.07,747.51,0.250000,0.020000,0.040000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787629747,777001,40,500,8,10,20,slide,convex,1.5,0,80,0,0,13.75,0.00,13.75,122.26,26.39,0.72,567.02,0.250000,0.020000,0.080000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787630529,777001,40,500,8,10,20,slide,convex,1.5,41,39,22,19,81.25,73.17,89.74,165.41,28.10,1.16,782.68,0.250000,0.020000,0.020000,0.012500,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787631379,777001,40,500,8,10,20,slide,convex,1.5,39,41,18,21,70.00,66.67,73.17,170.70,27.00,1.23,848.77,0.250000,0.020000,0.020000,0.025000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787632184,777001,40,500,8,10,20,slide,convex,1.5,42,38,23,19,56.25,59.52,52.63,168.34,29.81,1.21,805.06,0.250000,0.020000,0.020000,0.100000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787633006,777001,40,500,8,10,20,slide,convex,1.5,48,32,23,25,73.75,75.00,71.88,173.39,29.09,1.14,821.40,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787633843,777001,40,500,8,10,20,slide,convex,1.5,36,44,17,19,77.50,75.00,79.55,172.71,28.62,1.16,837.21,0.250000,0.020000,0.020000,0.050000,-0.007500,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787634709,777001,40,500,8,10,20,slide,convex,1.5,35,45,21,14,76.25,71.43,80.00,171.34,28.93,1.39,865.99,0.250000,0.020000,0.020000,0.050000,-0.015000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787635559,777001,40,500,8,10,20,slide,convex,1.5,46,34,22,24,67.50,60.87,76.47,177.61,29.25,1.66,850.07,0.250000,0.020000,0.020000,0.050000,-0.060000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787636406,777001,40,500,8,10,20,slide,convex,1.5,53,27,25,28,73.75,73.58,74.07,171.43,28.56,1.15,846.99,0.250000,0.020000,0.020000,0.050000,-0.120000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787637237,777001,40,500,8,10,20,slide,convex,1.5,42,38,22,20,72.50,61.90,84.21,171.09,28.46,1.10,830.50,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.225000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787638028,777001,40,500,8,10,20,slide,convex,1.5,39,41,18,21,66.25,74.36,58.54,164.64,29.21,1.34,791.26,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.450000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787638857,777001,40,500,8,10,20,slide,convex,1.5,37,43,16,21,66.25,62.16,69.77,174.01,29.46,1.38,828.58,0.250000,0.020000,0.020000,0.050000,-0.030000,-1.800000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787639712,777001,40,500,8,10,20,slide,convex,1.5,41,39,21,20,68.75,70.73,66.67,176.35,29.40,0.95,855.68,0.250000,0.020000,0.020000,0.050000,-0.030000,-3.600000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787640542,777001,40,500,8,10,20,slide,convex,1.5,41,39,24,17,65.00,78.05,51.28,172.49,30.25,1.12,830.00,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.037500,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787641378,777001,40,500,8,10,20,slide,convex,1.5,32,48,14,18,76.25,81.25,72.92,172.44,29.09,1.35,835.98,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.075000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787642252,777001,40,500,8,10,20,slide,convex,1.5,43,37,20,23,66.25,67.44,64.86,178.68,30.04,1.34,873.22,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.300000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787643147,777001,40,500,8,10,20,slide,convex,1.5,44,36,19,25,75.00,72.73,77.78,174.19,28.38,1.36,895.24,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.600000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787643999,777001,40,500,8,10,20,slide,convex,1.5,35,45,18,17,72.50,74.29,71.11,171.91,28.71,1.35,852.39,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.015000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787644841,777001,40,500,8,10,20,slide,convex,1.5,37,43,14,23,77.50,81.08,74.42,174.78,29.14,1.10,841.60,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.030000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787645679,777001,40,500,8,10,20,slide,convex,1.5,38,42,16,22,82.50,73.68,90.48,171.34,28.39,1.66,838.29,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.120000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787646477,777001,40,500,8,10,20,slide,convex,1.5,34,46,19,15,71.25,70.59,71.74,166.80,29.50,1.12,798.06,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.240000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787647238,777001,40,500,8,10,20,slide,convex,1.5,40,40,22,18,68.75,65.00,72.50,156.89,27.18,1.04,760.31,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.010000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787648058,777001,40,500,8,10,20,slide,convex,1.5,42,38,25,17,72.50,71.43,73.68,170.66,29.09,1.18,820.36,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.020000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787648868,777001,40,500,8,10,20,slide,convex,1.5,42,38,18,24,62.50,61.90,63.16,171.34,29.69,1.26,809.32,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.080000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787649703,777001,40,500,8,10,20,slide,convex,1.5,41,39,20,21,71.25,75.61,66.67,171.36,29.66,1.39,835.27,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.160000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787650477,777001,40,500,8,10,20,slide,convex,1.5,40,40,23,17,63.75,55.00,72.50,160.72,28.43,1.07,773.55,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.012500,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
