timestamp,seed,pairs,ms,rows,columns,perside,style,payoff,komi,winsA,winsB,winsA_asP0,winsA_asP1,quietPct,quietPctAwins,quietPctBwins,meanPlies,meanCaptures,meanLeadChanges,wallSecs,wA_threat,wA_pair,wA_mobility,wA_centre,wA_vulnerableAxes,wA_oneMoveCapturable,wA_spearheadPairs,wA_diagonalSupport,wA_deniedSquares,wA_strikers,wA_notchExposure,wB_threat,wB_pair,wB_mobility,wB_centre,wB_vulnerableAxes,wB_oneMoveCapturable,wB_spearheadPairs,wB_diagonalSupport,wB_deniedSquares,wB_strikers,wB_notchExposure
1787763305,777001,40,500,8,10,20,slide,convex,1.5,38,42,17,21,66.25,73.68,59.52,161.19,28.49,1.46,785.84,0.175000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787764108,777001,40,500,8,10,20,slide,convex,1.5,39,41,15,24,77.50,74.36,80.49,164.76,27.85,1.64,802.99,0.350000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787764908,777001,40,500,8,10,20,slide,convex,1.5,31,49,20,11,66.25,61.29,69.39,164.75,28.23,1.00,800.40,0.250000,0.014000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787765708,777001,40,500,8,10,20,slide,convex,1.5,43,37,20,23,67.50,65.12,70.27,164.95,28.35,1.35,799.60,0.250000,0.028000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787766507,777001,40,500,8,10,20,slide,convex,1.5,43,37,18,25,76.25,76.74,75.68,165.54,26.27,1.38,798.97,0.250000,0.020000,0.014000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787767253,777001,40,500,8,10,20,slide,convex,1.5,36,44,17,19,63.75,69.44,59.09,154.53,28.09,1.10,746.41,0.250000,0.020000,0.028000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787768067,777001,40,500,8,10,20,slide,convex,1.5,38,42,18,20,72.50,71.05,73.81,169.86,28.93,1.30,813.86,0.250000,0.020000,0.020000,0.140000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787768876,777001,40,500,8,10,20,slide,convex,1.5,43,37,26,17,73.75,76.74,70.27,166.53,27.09,1.30,808.88,0.250000,0.020000,0.020000,0.280000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787769662,777001,40,500,8,10,20,slide,convex,1.5,41,39,21,20,66.25,65.85,66.67,163.68,28.50,1.24,786.12,0.250000,0.020000,0.020000,0.200000,-0.021000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787770490,777001,40,500,8,10,20,slide,convex,1.5,48,32,26,22,63.75,64.58,62.50,169.12,29.48,1.19,827.73,0.250000,0.020000,0.020000,0.200000,-0.042000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787771262,777001,40,500,8,10,20,slide,convex,1.5,44,36,20,24,68.75,65.91,72.22,162.61,27.79,1.34,772.21,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.630000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787772036,777001,40,500,8,10,20,slide,convex,1.5,34,46,17,17,68.75,64.71,71.74,162.54,27.91,1.19,773.79,0.250000,0.020000,0.020000,0.200000,-0.030000,-1.260000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787772816,777001,40,500,8,10,20,slide,convex,1.5,34,46,20,14,70.00,73.53,67.39,165.53,27.71,1.12,779.57,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.105000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787773630,777001,40,500,8,10,20,slide,convex,1.5,44,36,22,22,70.00,72.73,66.67,164.72,27.11,1.15,813.77,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.210000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787774443,777001,40,500,8,10,20,slide,convex,1.5,38,42,22,16,68.75,60.53,76.19,166.04,28.76,1.23,813.55,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.042000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787775225,777001,40,500,8,10,20,slide,convex,1.5,44,36,21,23,62.50,65.91,58.33,162.62,28.70,1.29,781.87,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.084000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787776034,777001,40,500,8,10,20,slide,convex,1.5,37,43,17,20,76.25,75.68,76.74,167.46,28.36,1.46,808.45,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.028000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787776814,777001,40,500,8,10,20,slide,convex,1.5,38,42,19,19,75.00,78.95,71.43,162.59,27.56,1.15,779.78,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.056000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787777627,777001,40,500,8,10,20,slide,convex,1.5,38,42,18,20,76.25,68.42,83.33,171.15,28.79,1.66,812.99,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.035000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787778439,777001,40,500,8,10,20,slide,convex,1.5,44,36,18,26,71.25,72.73,69.44,166.15,28.32,1.30,812.12,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.070000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
